Rank (Hollinger's),TEAM,Pace,Assist Ratio,Turnover Ratio,Offensive Rebound Ratio,Defensive Rebound Ratio,Rebound Rate,Effective Field Goal Percentage,Shooting Percentage,Offensive Rating,Defensive Rating,Rating
5,Cleveland,100.1,17.7,12.6,20,77.3,49.1,54.7,58.4,110.6,109.5,110.05
4,Minnesota,98.3,17.2,11.4,24.4,76.4,50.1,52.3,56.6,110.8,108.4,109.6
6,Denver,99.1,18.4,13.4,25.7,77.5,51.7,53.6,57,109.6,108.8,109.2
1,Golden State,101.8,21.1,14.1,21,76.3,50.6,56.9,60.3,112.3,104.2,108.25
2,Houston,99.7,16.5,12.7,21.3,79.9,50.8,55.1,59,112.2,103.8,108
8,LA Clippers,101.1,16.7,13.2,23.5,76.1,50.1,52.7,56.4,107.7,107.7,107.7
7,Milwaukee,98.5,17.8,12.9,20.4,75.9,48.3,53.1,57.1,107.8,107.1,107.45
3,Toronto,99.8,18.1,12.1,23,77.7,50.9,53.9,57.5,111,103.4,107.2
13,Charlotte,100.5,16.3,11.4,22.2,80.8,51,50.8,54.9,107,107,107
,New Orleans,102.7,19.2,13.3,20,76.7,49.4,54.1,57.3,107.7,105.6,106.65
14,Washington,98.9,18.7,13.3,23.5,77.1,50.3,52.5,56,106.9,106.2,106.55
12,Indiana,98.2,17,12.3,22.7,76.2,49.6,52.5,55.7,107.2,105.6,106.4
21,Brooklyn,101.1,17.5,13.6,21,77,48.7,51.4,55.1,104.3,108.5,106.4
,New York,99.2,17.4,13.3,24.1,76.7,50.5,51,54.4,104.1,108.4,106.25
,Oklahoma City,99.2,15.9,12.4,27.7,77.4,51.7,51.4,54.6,107.7,104.7,106.2
23,Dallas,97.5,17.6,11.5,18,78.9,47.4,51.3,54.4,104.1,107.4,105.75
30,Phoenix,102.6,15.8,13.9,22.5,76.5,49,49.5,53.2,100.8,110.6,105.7
26,Atlanta,100.6,17.7,14.1,21.1,76.2,48.7,51.2,54.7,102.4,108.2,105.3
25,Orlando,100.3,17.6,13.3,20,75.6,47.6,51.2,54.5,102.8,107.7,105.25
28,Chicago,100.3,17.4,12.6,20.6,80.6,49.4,49.7,52.9,101.3,109.1,105.2
16,Portland,98.8,15.1,12.3,23.3,79.1,51.4,51.1,54.9,106.1,104.2,105.15
27,Memphis,97.3,16.8,14,22.4,76.5,48.8,50,53.9,101.9,108.4,105.15
29,Sacramento,97.1,16.7,12.8,21.5,77.6,48.3,50.2,52.9,101.1,109,105.05
22,LA Lakers,102.6,17.2,13.8,23.6,77.7,50.9,51.7,54.8,104.2,105.6,104.9
19,Detroit,98.4,17.3,12.3,22.7,78.5,50,51.2,54.3,104.9,104.8,104.85
11,Philadelphia,102.2,19.3,14.6,25.3,78.6,52.9,53.5,56.8,107.4,102,104.7
20,Miami,97.8,17.3,13.3,21.5,79,50.2,52,55.1,104.5,104,104.25
17,San Antonio,97.2,17.5,12.2,23.7,78.6,51,50.7,54.3,105.5,102.4,103.95
15,Utah,97.8,17.3,13.7,21.5,79.8,51,52.7,56.4,106.2,101.6,103.9
18,Boston,98.2,17.2,13,21.5,78.4,50.3,51.8,55.2,105.2,101.5,103.35